Date,Product,Category,Region,Sales,Quantity,Price,Customer_Type,Discount,Profit
2024-01-15,Laptop Pro 15,Electronics,East,1299.99,5,1299.99,Business,0.1,450.50
2024-01-16,Office Chair,Furniture,West,299.99,12,299.99,Retail,0.05,89.75
2024-01-17,Wireless Mouse,Electronics,North,29.99,45,29.99,Retail,0,8.50
2024-01-18,Standing Desk,Furniture,South,599.99,8,599.99,Business,0.15,175.25
2024-01-19,USB-C Cable,Electronics,East,19.99,150,19.99,Retail,0,5.00
2024-01-20,Monitor 27inch,Electronics,West,399.99,18,399.99,Business,0.1,125.75
2024-01-21,Ergonomic Keyboard,Electronics,North,79.99,35,79.99,Retail,0.05,22.50
2024-01-22,Desk Lamp,Furniture,South,45.99,28,45.99,Retail,0,12.25
2024-01-23,Laptop Pro 13,Electronics,East,999.99,15,999.99,Business,0.12,320.00
2024-01-24,Bookshelf,Furniture,West,189.99,10,189.99,Retail,0.08,48.75
2024-01-25,Webcam HD,Electronics,North,89.99,22,89.99,Business,0.05,28.50
2024-01-26,Office Table,Furniture,South,449.99,6,449.99,Business,0.15,125.00
2024-01-27,Headphones Pro,Electronics,East,149.99,40,149.99,Retail,0.1,45.25
2024-01-28,Filing Cabinet,Furniture,West,279.99,8,279.99,Business,0.12,75.50
2024-01-29,Tablet 10inch,Electronics,North,329.99,25,329.99,Retail,0.05,95.75
2024-01-30,Conference Table,Furniture,South,899.99,3,899.99,Business,0.2,245.00
2024-01-31,Wireless Charger,Electronics,East,39.99,60,39.99,Retail,0,11.50
2024-02-01,Laptop Stand,Electronics,West,49.99,32,49.99,Retail,0.05,14.25
2024-02-02,Office Sofa,Furniture,North,1299.99,2,1299.99,Business,0.15,380.00
2024-02-03,External SSD 1TB,Electronics,South,129.99,28,129.99,Business,0.08,38.75
2024-02-04,Printer Laser,Electronics,East,399.99,12,399.99,Business,0.1,115.50
2024-02-05,Storage Cabinet,Furniture,West,349.99,7,349.99,Retail,0.1,95.25
2024-02-06,Mechanical Keyboard,Electronics,North,119.99,18,119.99,Retail,0.05,35.75
2024-02-07,Executive Chair,Furniture,South,599.99,9,599.99,Business,0.15,175.00
2024-02-08,Smartphone Pro,Electronics,East,899.99,20,899.99,Retail,0.12,265.50
2024-02-09,Desk Organizer,Furniture,West,24.99,55,24.99,Retail,0,7.25
2024-02-10,Bluetooth Speaker,Electronics,North,79.99,38,79.99,Retail,0.08,22.50
2024-02-11,Meeting Table,Furniture,South,749.99,4,749.99,Business,0.18,210.00
2024-02-12,Laptop Bag,Electronics,East,59.99,42,59.99,Retail,0.05,17.50
2024-02-13,Wardrobe,Furniture,West,899.99,5,899.99,Business,0.15,255.00
2024-02-14,Smart Watch,Electronics,North,249.99,30,249.99,Retail,0.1,72.50
2024-02-15,Bedside Table,Furniture,South,149.99,15,149.99,Retail,0.05,42.75
2024-02-16,Gaming Mouse,Electronics,East,69.99,48,69.99,Retail,0.08,19.50
2024-02-17,Lounge Chair,Furniture,West,449.99,6,449.99,Business,0.12,130.00
2024-02-18,Portable Charger,Electronics,North,34.99,65,34.99,Retail,0,10.25
2024-02-19,Coffee Table,Furniture,South,299.99,11,299.99,Retail,0.1,85.50
2024-02-20,Laptop Pro 17,Electronics,East,1599.99,8,1599.99,Business,0.15,475.00
2024-02-21,Desk Drawer,Furniture,West,99.99,20,99.99,Retail,0.05,28.75
2024-02-22,USB Hub 7-Port,Electronics,North,29.99,70,29.99,Retail,0,8.50
2024-02-23,Recliner Chair,Furniture,South,699.99,5,699.99,Business,0.18,195.00
2024-02-24,Tablet Keyboard,Electronics,East,89.99,25,89.99,Retail,0.08,26.50
2024-02-25,TV Stand,Furniture,West,249.99,9,249.99,Retail,0.1,72.00
2024-02-26,Action Camera,Electronics,North,299.99,15,299.99,Retail,0.12,87.50
2024-02-27,Bar Stool Set,Furniture,South,399.99,6,399.99,Business,0.15,115.00
2024-02-28,Noise Cancelling Headphones,Electronics,East,249.99,22,249.99,Business,0.1,72.50
2024-02-29,Shoe Rack,Furniture,West,79.99,18,79.99,Retail,0.05,22.75
2024-03-01,Graphics Tablet,Electronics,North,199.99,12,199.99,Business,0.08,58.50
2024-03-02,Ottoman,Furniture,South,149.99,14,149.99,Retail,0.05,42.50
2024-03-03,Wireless Earbuds,Electronics,East,129.99,35,129.99,Retail,0.1,37.75
2024-03-04,Dining Table,Furniture,West,649.99,4,649.99,Business,0.2,182.00
2024-03-05,4K Monitor,Electronics,North,599.99,10,599.99,Business,0.12,175.50
2024-03-06,Coat Rack,Furniture,South,59.99,22,59.99,Retail,0,17.25
2024-03-07,Document Scanner,Electronics,East,179.99,16,179.99,Business,0.08,52.50
2024-03-08,Bean Bag Chair,Furniture,West,89.99,13,89.99,Retail,0.1,25.75
2024-03-09,Drawing Tablet,Electronics,North,349.99,9,349.99,Business,0.15,102.00
2024-03-10,Magazine Rack,Furniture,South,34.99,28,34.99,Retail,0,10.00
2024-03-11,VR Headset,Electronics,East,399.99,14,399.99,Retail,0.12,117.50
2024-03-12,Nightstand,Furniture,West,119.99,17,119.99,Retail,0.08,34.50
2024-03-13,Portable SSD 2TB,Electronics,North,199.99,20,199.99,Business,0.1,58.50
2024-03-14,Bench,Furniture,South,179.99,10,179.99,Retail,0.05,51.25
2024-03-15,Drone 4K,Electronics,East,499.99,11,499.99,Retail,0.15,147.00
2024-03-16,Chest of Drawers,Furniture,West,299.99,7,299.99,Business,0.12,87.50
2024-03-17,Fitness Tracker,Electronics,North,99.99,32,99.99,Retail,0.08,29.00
2024-03-18,Floating Shelf,Furniture,South,44.99,30,44.99,Retail,0,12.75
2024-03-19,E-Reader,Electronics,East,139.99,18,139.99,Retail,0.1,40.75
2024-03-20,Side Table,Furniture,West,89.99,21,89.99,Retail,0.05,25.50
2024-03-21,Portable Monitor,Electronics,North,249.99,15,249.99,Business,0.12,73.00
2024-03-22,Hall Tree,Furniture,South,199.99,8,199.99,Retail,0.08,58.00
2024-03-23,Laser Printer Color,Electronics,East,549.99,9,549.99,Business,0.15,162.00
2024-03-24,Vanity Table,Furniture,West,349.99,6,349.99,Business,0.12,102.50
2024-03-25,Ring Light,Electronics,North,59.99,28,59.99,Retail,0.05,17.25
2024-03-26,Dressing Mirror,Furniture,South,129.99,12,129.99,Retail,0.08,37.75
2024-03-27,Streaming Webcam,Electronics,East,149.99,19,149.99,Business,0.1,43.75
2024-03-28,Accent Chair,Furniture,West,249.99,8,249.99,Business,0.15,72.50
2024-03-29,Mechanical Gaming Keyboard,Electronics,North,159.99,16,159.99,Retail,0.12,47.00
2024-03-30,Coat Stand,Furniture,South,79.99,14,79.99,Retail,0.05,22.75
2024-03-31,Wireless Router,Electronics,East,99.99,24,99.99,Business,0.08,29.00
2024-04-01,Bar Cabinet,Furniture,West,449.99,5,449.99,Business,0.18,132.00
2024-04-02,Podcast Microphone,Electronics,North,129.99,17,129.99,Retail,0.1,37.75
2024-04-03,Entryway Bench,Furniture,South,199.99,9,199.99,Retail,0.08,58.00
2024-04-04,Smart Speaker,Electronics,East,89.99,26,89.99,Retail,0.05,26.00
2024-04-05,Corner Shelf,Furniture,West,69.99,19,69.99,Retail,0,20.00
2024-04-06,Wireless Gaming Headset,Electronics,North,179.99,21,179.99,Retail,0.12,52.75
2024-04-07,Plant Stand,Furniture,South,49.99,24,49.99,Retail,0.05,14.25
2024-04-08,Thermal Printer,Electronics,East,199.99,13,199.99,Business,0.1,58.50
2024-04-09,Futon,Furniture,West,399.99,6,399.99,Business,0.15,117.50
2024-04-10,Gimbal Stabilizer,Electronics,North,149.99,14,149.99,Retail,0.08,43.75
2024-04-11,Wine Rack,Furniture,South,79.99,16,79.99,Retail,0.05,22.75
2024-04-12,Studio Headphones,Electronics,East,199.99,18,199.99,Business,0.1,58.50
2024-04-13,Media Console,Furniture,West,349.99,7,349.99,Business,0.12,102.50
2024-04-14,LED Ring Light Pro,Electronics,North,99.99,22,99.99,Retail,0.08,29.00
2024-04-15,Wall Mirror,Furniture,South,89.99,15,89.99,Retail,0.05,25.75
2024-04-16,USB Microphone,Electronics,East,79.99,28,79.99,Retail,0.1,23.25
2024-04-17,Jewelry Armoire,Furniture,West,249.99,8,249.99,Business,0.15,73.00
2024-04-18,Capture Card,Electronics,North,149.99,12,149.99,Business,0.08,43.75
2024-04-19,Accent Table,Furniture,South,99.99,17,99.99,Retail,0.05,28.75
2024-04-20,Portable Projector,Electronics,East,299.99,10,299.99,Business,0.12,87.75
2024-04-21,Ladder Shelf,Furniture,West,129.99,11,129.99,Retail,0.08,37.75
2024-04-22,Studio Monitor Speakers,Electronics,North,249.99,9,249.99,Business,0.15,73.00
2024-04-23,Console Table,Furniture,South,199.99,10,199.99,Retail,0.1,58.00
2024-04-24,Green Screen,Electronics,East,69.99,20,69.99,Retail,0.05,20.00
2024-04-25,Credenza,Furniture,West,499.99,4,499.99,Business,0.18,147.00
2024-04-26,Audio Interface,Electronics,North,179.99,11,179.99,Business,0.1,52.75
2024-04-27,Curio Cabinet,Furniture,South,349.99,6,349.99,Business,0.12,102.50
2024-04-28,MIDI Keyboard,Electronics,East,149.99,13,149.99,Retail,0.08,43.75
2024-04-29,Tufted Bench,Furniture,West,179.99,9,179.99,Retail,0.05,51.25
2024-04-30,Condenser Microphone,Electronics,North,99.99,16,99.99,Business,0.1,29.00
2024-05-01,Storage Ottoman,Furniture,South,119.99,14,119.99,Retail,0.08,34.75
2024-05-02,Stream Deck,Electronics,East,149.99,15,149.99,Retail,0.12,43.75
2024-05-03,Settee,Furniture,West,399.99,5,399.99,Business,0.15,117.50
2024-05-04,Elgato Key Light,Electronics,North,199.99,12,199.99,Business,0.1,58.50
2024-05-05,Ladder Bookcase,Furniture,South,149.99,10,149.99,Retail,0.05,42.75
2024-05-06,Professional Webcam,Electronics,East,249.99,14,249.99,Business,0.12,73.00
2024-05-07,Murphy Bed,Furniture,West,1299.99,2,1299.99,Business,0.2,382.00
2024-05-08,Boom Arm,Electronics,North,79.99,18,79.99,Retail,0.08,23.25
2024-05-09,Chaise Lounge,Furniture,South,549.99,4,549.99,Business,0.15,161.50
2024-05-10,Pop Filter,Electronics,East,19.99,35,19.99,Retail,0,5.75
2024-05-11,Secretary Desk,Furniture,West,299.99,7,299.99,Business,0.12,87.75
2024-05-12,Shock Mount,Electronics,North,29.99,30,29.99,Retail,0.05,8.50
2024-05-13,Parsons Table,Furniture,South,199.99,9,199.99,Retail,0.08,58.00
2024-05-14,XLR Cable,Electronics,East,24.99,40,24.99,Retail,0,7.25
2024-05-15,Sleeper Sofa,Furniture,West,799.99,3,799.99,Business,0.18,235.00
2024-05-16,Audio Mixer,Electronics,North,199.99,10,199.99,Business,0.1,58.50
2024-05-17,Buffet Cabinet,Furniture,South,449.99,5,449.99,Business,0.15,132.00
2024-05-18,Phantom Power Supply,Electronics,East,59.99,16,59.99,Business,0.08,17.50
2024-05-19,Armoire,Furniture,West,649.99,4,649.99,Business,0.2,191.00
2024-05-20,Acoustic Panels,Electronics,North,89.99,22,89.99,Retail,0.05,26.00
2024-05-21,Platform Bed,Furniture,South,499.99,6,499.99,Business,0.15,147.00
2024-05-22,Monitor Arm,Electronics,East,79.99,19,79.99,Retail,0.1,23.25
2024-05-23,Canopy Bed,Furniture,West,899.99,3,899.99,Business,0.18,264.50
2024-05-24,Cable Management,Electronics,North,34.99,28,34.99,Retail,0,10.00
2024-05-25,Daybed,Furniture,South,549.99,5,549.99,Business,0.15,161.50